creator,poem
0,"Beauty with fornication
Is not beautiful at all
Here beauty is real
Beautiful is false
As beauty is heavenly
Fornication is helly
To be beautiful
Need preserve chastity above all.
Copyright © Muzahidul Reza | 08/04/2017"
0,"(for Annelize, after A. G. Vissier in answer to André letoit)
I met you at college
and always you did greet me with a smile,
you were my own prophetic Letitia
and your lips and mouth was sugar-sweet
where the way that you did look at me,
how happy and beautiful you were
did predict my future, my love with you
and all the ways were open and even,
our love was something big and unique
with the sun in your eyes and I were constantly admiring you
as a Letitia euphoria
in a stretched out summer days with a very late sunset
but now that I do know you through and through
I do once more try to win your heart.
[References: ""Letitia"" by A. G. Visser.""visserman"" (fisherman)by André letoit.]
© Gert Strydom"
0,"Beauty with pride
Is not beautiful at all
Here beauty is real
Beautiful is false
As beauty is heavenly
Pride is helly
To be beautiful
Need prideless dealing with all.
Copyright © Muzahidul Reza | 08/04/2017"
0,"Weavers do twitter, warblers chirp and doves coo
and the summer overflows with joy
but for the cat that do try to murder the birds
where from the branches of the fig tree the birds peep
and in the days of the summer I am swept away
by all of the birds that so cheerful do sing in their choir
and do notice them splash and drink at the water bowl
when they do flutter down and I do feed them crumbs
and every bird does sing an own love-song
that continually does sound up with joy
as if all of creation do enjoy this summer,
the birds land as if the fruit trees do beckon them,
know that they do offer seed and fruit to them
and I can think of no other better summer."
0,"Beauty is God
In words, in creations
Beauty is truth
In nature, in thought
Beauty is virtuous soul
In innocent, in saint
Beauty is integrity
In honesty, in sincerity
Beauty is legality
In power, in justice
Beauty is love
In reality, in humanity
Beauty is deeds
In doings, in done
Beauty is life
In properly spend,
Let's think of each
To beautify in and out of us.
Copyright © Muzahidul Reza |12/24/2016"
0,"(for Annelize, in answer to Daniel Hugo)
Your sunny glance is brighter and more cheerful
than the riant suns, moons and stars in the universe
when your smile do draw people during the day and night to you
and over you and with you I am infatuated, in love and totally crazy
where truth as utterly bright light do get meaning in you
as if God is present in your heart, spirit and soul
where as a human you do moment by moment make me happy
where the depth of love as open and plain for all to see
through God becomes immortal as something eternal between us
where He keeps giving the sincere truth and selflessness
when I pour out myself, my hart, spirit and soul and everything into you
and we as mere humans do enter something godly and inhuman
where the yearning of the flesh, body, soul and spirit
becomes one composition of the two of us without any fear.
[References:""Leesverslag"" en ""Lyfmistiek II"" (Reading report and body-mysticism)by Daniel Hugo.]
© Gert Strydom"
0,"Free verse it must not be that easy for to write
And not very easy for one to recite
Harder by far to pen good free verse than to pen good rhyme
Which was popular going back four decades in time
So many fine poets writing in free verse to day
Into the twenty first century they lead the way
It does seem in poetry rhyme is of the past
But few things in life ever does seem to last
In literature many more changes ahead
In a few decades from now free verse may be dead
For most things upon them have a use by date
And the passage of time on few things seem to wait
Times changing faster nowadays than ever before
And only Nature herself will live forever more"
0,"From the pit of my coldness
You burn me with acid-filled glares
Like I am nothing but garbage left to go stale
Out here I have no shelter from the rain.
I wander hungrily through familiar streets
Looking for somewhere to belong
I am labelled as a leper amongst the sick
For you do not want to see or hear my pain.
As I stand in the doorway of my despair
I watch the world from it’s shadows
I have become a phantom with no hope
For I have ran out of people to blame."
0,"From this city I want to flee,
to find a place of some solace,
not again I want to return,
where city lights sometimes blind people.
I still think about how it was,
from this city I want to flee,
I cannot fit in this anthill,
a bridge to escape, I must find.
The city makes me uneasy,
I want to wander on the beach,
from this city I want to flee,
I want to vanish by bus or train.
Now I splash in a city stream,
at times are in the open air,
about freedom I can just dream,
from this city I want to flee."
0,"Beauty with cruelty
Is not beautiful at all
Here beauty is real
Beautiful is false
As beauty is heavenly
Cruelty is helly
To be beautiful
Need avoid cruelty above all.
Copyright © Muzahidul Reza | 08/04/2017"
